Type,Name,PID,CPU %,MEM %,RAM MB,Heavy
RAM,com.zhiliaoapp.musically,,,,493.8828125,True
RAM,system,,,,247.7265625,False
RAM,com.facebook.katana,,,,191.71484375,False
RAM,com.google.android.googlequicksearchbox:search,,,,114.01171875,False
RAM,com.google.android.gms.persistent,,,,102.69921875,False
RAM,com.android.systemui,,,,85.3828125,False
RAM,com.google.android.gms,,,,82.33984375,False
RAM,com.spotify.music,,,,76.53515625,False
RAM,com.samsung.android.rubin.app,,,,55.55078125,False
RAM,com.google.android.googlequicksearchbox:interactor,,,,55.2109375,False
RAM,com.android.bluetooth,,,,49.2578125,False
RAM,com.samsung.android.oneconnect,,,,48.5,False
RAM,com.facebook.services,,,,47.87890625,False
RAM,com.android.phone,,,,45.11328125,False
RAM,com.truecaller,,,,44.859375,False
RAM,com.sec.android.app.launcher,,,,44.44921875,False
RAM,com.android.vending,,,,44.078125,False
RAM,com.samsung.android.fmm,,,,43.9453125,False
RAM,com.samsung.android.oneconnect:Core,,,,42.41015625,False
RAM,com.samsung.android.honeyboard,,,,41.84375,False
RAM,com.google.android.googlequicksearchbox:trusted_disable_art_image_:com.google.android.apps.gsa.hotword.hotworddetectionservice.GsaHotwordDetectionService:hotword_detector_0,,,,41.484375,False
RAM,com.sec.android.sdhms,,,,41.44140625,False
RAM,com.samsung.android.dqagent,,,,41.40625,False
RAM,android.process.acore,,,,40.64453125,False
RAM,com.sec.android.app.shealth:remote,,,,40.609375,False
RAM,com.samsung.android.gearoplugin,,,,37.26171875,False
RAM,com.sec.android.app.volumemonitorprovider,,,,35.609375,False
RAM,com.sec.android.CcInfo,,,,35.109375,False
RAM,com.google.android.as,,,,34.33984375,False
RAM,com.android.networkstack.process,,,,34.07421875,False
RAM,com.arn.scrobble:bgScrobbler,,,,33.9296875,False
RAM,com.prey,,,,33.59375,False
RAM,com.arn.scrobble,,,,33.5234375,False
RAM,com.sec.android.diagmonagent,,,,33.30859375,False
RAM,com.sec.imsservice,,,,33.1328125,False
RAM,com.google.android.ext.services,,,,32.5,False
RAM,com.microsoft.appmanager:pnsvc,,,,32.4609375,False
RAM,com.drilens.wamr:notificationl,,,,31.9140625,False
RAM,com.samsung.klmsagent,,,,31.0703125,False
RAM,com.sec.location.nsflp2,,,,30.859375,False
RAM,com.samsung.cmh,,,,30.421875,False
RAM,com.google.android.providers.media.module,,,,30.24609375,False
RAM,android:drmService,,,,29.8671875,False
RAM,com.google.android.apps.messaging:rcs,,,,28.28125,False
RAM,com.android.rkpdapp,,,,28.1953125,False
RAM,com.transsion.oraimohealth,,,,27.453125,False
RAM,com.samsung.android.game.gamehome:notification,,,,26.46875,False
RAM,android.process.media,,,,26.21484375,False
RAM,com.samsung.android.mdx.kit,,,,25.90234375,False
RAM,com.samsung.android.app.telephonyui,,,,24.8203125,False
RAM,com.samsung.android.galaxycontinuity,,,,24.27734375,False
RAM,com.google.android.ims,,,,24.03515625,False
RAM,com.sec.epdg,,,,23.46875,False
RAM,com.samsung.android.themecenter,,,,21.16015625,False
RAM,zygote64,,,,21.10546875,False
RAM,com.sec.sve,,,,20.4921875,False
RAM,com.android.se,,,,18.88671875,False
RAM,com.android.proxyhandler,,,,18.7265625,False
RAM,surfaceflinger,,,,14.859375,False
RAM,webview_zygote,,,,14.32421875,False
RAM,audioserver,,,,13.39453125,False
RAM,samsung.hardware.media.c2@1.2-service,,,,7.73828125,False
RAM,media.swcodec,,,,5.6171875,False
RAM,keystore2,,,,5.34375,False
RAM,mediaserver,,,,5.11328125,False
RAM,rild,,,,5.0703125,False
RAM,media.metrics,,,,4.91796875,False
RAM,zygote,,,,4.8828125,False
RAM,netd,,,,4.21875,False
RAM,statsd,,,,3.83203125,False
RAM,android.hardware.graphics.composer@2.2-service,,,,3.6171875,False
RAM,cameraserver,,,,3.4765625,False
RAM,logd,,,,3.2265625,False
RAM,dumpsys,,,,3.1640625,False
RAM,android.hardware.security.keymint-service,,,,3.09375,False
RAM,lmkd,,,,3.06640625,False
RAM,vendor.samsung.hardware.security.fkeymaster-service,,,,2.95703125,False
RAM,wpa_supplicant,,,,2.6484375,False
RAM,adbd,,,,2.640625,False
RAM,gpsd,,,,2.59765625,False
RAM,vold,,,,2.56640625,False
RAM,android.hardware.audio.service,,,,2.546875,False
RAM,android.system.suspend-service,,,,2.54296875,False
RAM,kumiho.decoder,,,,2.4921875,False
RAM,vendor.samsung.hardware.gnss@2.1-service,,,,2.48828125,False
RAM,vendor.samsung.hardware.hyper-service,,,,2.44140625,False
RAM,media.extractor,,,,2.43359375,False
RAM,vendor.samsung.hardware.biometrics.face-service,,,,2.42578125,False
RAM,samsung.software.media.c2@1.0-service,,,,2.421875,False
RAM,vendor.samsung.hardware.health-service,,,,2.40234375,False
RAM,multiclientd,,,,2.3984375,False
RAM,ueventd,,,,2.39453125,False
RAM,pageboostd,,,,2.390625,False
RAM,init,,,,2.37890625,False
RAM,vendor.samsung.hardware.thermal-service,,,,2.375,False
RAM,servicemanager,,,,2.34375,False
RAM,android.hardware.wifi-service,,,,2.34375,False
RAM,android.hardware.sensors-service.multihal,,,,2.328125,False
RAM,wificond,,,,2.296875,False
RAM,installd,,,,2.19921875,False
RAM,prng_seeder,,,,2.1953125,False
RAM,vendor.samsung.hardware.camera.provider-service_64,,,,2.1484375,False
RAM,storaged,,,,2.1484375,False
RAM,vendor.samsung.hardware.vibrator-service,,,,2.08203125,False
RAM,android.hardware.graphics.allocator@4.0-service,,,,2.0390625,False
