Type,Name,PID,CPU %,MEM %,RAM MB,Heavy
RAM,com.life360.android.safetymapd,,,,265.8203125,False
RAM,system,,,,247.19921875,False
RAM,com.instagram.android,,,,177.3671875,False
RAM,com.android.vending,,,,118.91015625,False
RAM,com.facebook.katana,,,,104.73046875,False
RAM,com.whatsapp,,,,99.4609375,False
RAM,com.samsung.android.rubin.app,,,,89.82421875,False
RAM,com.android.systemui,,,,88.7265625,False
RAM,com.android.vending:background,,,,87.890625,False
RAM,com.osp.app.signin,,,,81.328125,False
RAM,com.life360.android.safetymapd:service,,,,79.01953125,False
RAM,com.google.android.gms.persistent,,,,78.98046875,False
RAM,com.aura.oobe.samsung.gl,,,,68.10546875,False
RAM,com.google.android.gms,,,,63.65234375,False
RAM,com.truecaller,,,,63.62109375,False
RAM,com.safaricom.mpesa.lifestyle,,,,58.265625,False
RAM,com.samsung.android.dynamiclock,,,,57.98828125,False
RAM,com.samsung.android.fmm,,,,56.96875,False
RAM,com.spotify.music,,,,53.109375,False
RAM,com.sec.android.app.launcher,,,,47.37890625,False
RAM,com.facebook.services,,,,46.8984375,False
RAM,com.samsung.android.oneconnect,,,,46.18359375,False
RAM,com.google.android.googlequicksearchbox:interactor,,,,45.0625,False
RAM,com.samsung.android.gearoplugin,,,,43.453125,False
RAM,com.android.bluetooth,,,,43.36328125,False
RAM,com.samsung.android.app.watchmanager:contentprovider,,,,40.5390625,False
RAM,com.transsion.oraimohealth,,,,40.23046875,False
RAM,com.samsung.android.oneconnect:Core,,,,39.1953125,False
RAM,com.samsung.android.incallui,,,,39.14453125,False
RAM,com.sec.android.app.shealth:remote,,,,39.015625,False
RAM,com.samsung.android.honeyboard,,,,39.00390625,False
RAM,com.android.phone,,,,37.9296875,False
RAM,com.microsoft.appmanager:pnsvc,,,,37.62890625,False
RAM,com.drilens.wamr:notificationl,,,,37.625,False
RAM,com.google.android.as,,,,36.86328125,False
RAM,android.process.acore,,,,36.26953125,False
RAM,com.samsung.klmsagent,,,,36.078125,False
RAM,com.sec.android.provider.badge,,,,35.9375,False
RAM,com.arn.scrobble:bgScrobbler,,,,35.78125,False
RAM,com.google.process.gservices,,,,35.5546875,False
RAM,com.samsung.android.galaxycontinuity,,,,35.4921875,False
RAM,com.sec.android.sdhms,,,,35.0390625,False
RAM,com.google.android.ext.services,,,,34.50390625,False
RAM,com.google.process.gapps,,,,34.359375,False
RAM,com.google.android.googlequicksearchbox:trusted_disable_art_image_:com.google.android.apps.gsa.hotword.hotworddetectionservice.GsaHotwordDetectionService:hotword_detector_0,,,,33.88671875,False
RAM,com.samsung.android.game.gamehome:notification,,,,32.3515625,False
RAM,com.sec.android.diagmonagent,,,,31.9375,False
RAM,com.samsung.cmh,,,,31.54296875,False
RAM,android:drmService,,,,30.74609375,False
RAM,com.prey,,,,30.74609375,False
RAM,com.android.networkstack.process,,,,30.0546875,False
RAM,com.google.android.providers.media.module,,,,29.7265625,False
RAM,com.sec.imsservice,,,,29.32421875,False
RAM,com.android.rkpdapp,,,,28.2265625,False
RAM,com.sec.location.nsflp2,,,,27.3515625,False
